127.0.0.1 - - [07/Jan/2024:14:36:16 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Jan/2024:14:36:17 +0700] "GET /DoAnWeb/DangNhap.jsp HTTP/1.1" 200 3704
0:0:0:0:0:0:0:1 - - [07/Jan/2024:14:36:17 +0700] "GET /DoAnWeb/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2024:14:36:17 +0700] "GET /DoAnWeb/assets/img/vietnam.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2024:14:36:17 +0700] "GET /DoAnWeb/assets/img/united-states.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2024:14:36:17 +0700] "GET /DoAnWeb/assets/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2024:14:36:27 +0700] "POST /DoAnWeb/XuLyDangNhap HTTP/1.1" 200 48377
0:0:0:0:0:0:0:1 - - [07/Jan/2024:14:36:30 +0700] "GET /DoAnWeb/XuLyUser HTTP/1.1" 200 23049
0:0:0:0:0:0:0:1 - - [07/Jan/2024:14:53:07 +0700] "GET /DoAnWeb/XuLyUser HTTP/1.1" 200 23006
0:0:0:0:0:0:0:1 - - [07/Jan/2024:14:53:11 +0700] "GET /DoAnWeb/XuLyUser HTTP/1.1" 200 23006
0:0:0:0:0:0:0:1 - - [07/Jan/2024:14:53:12 +0700] "GET /DoAnWeb/XuLyUser HTTP/1.1" 200 23006
0:0:0:0:0:0:0:1 - - [07/Jan/2024:14:53:13 +0700] "GET /DoAnWeb/XuLyUser HTTP/1.1" 200 23006
0:0:0:0:0:0:0:1 - - [07/Jan/2024:14:55:19 +0700] "GET /DoAnWeb/XuLyUser HTTP/1.1" 200 23156
0:0:0:0:0:0:0:1 - - [07/Jan/2024:14:55:28 +0700] "GET /DoAnWeb/XuLyUser HTTP/1.1" 200 23167
0:0:0:0:0:0:0:1 - - [07/Jan/2024:14:55:41 +0700] "GET /DoAnWeb/XuLyUser HTTP/1.1" 200 23181
0:0:0:0:0:0:0:1 - - [07/Jan/2024:14:56:01 +0700] "GET /DoAnWeb/XuLyUser HTTP/1.1" 200 23181
0:0:0:0:0:0:0:1 - - [07/Jan/2024:14:57:21 +0700] "GET /DoAnWeb/XuLyUser HTTP/1.1" 200 24198
0:0:0:0:0:0:0:1 - - [07/Jan/2024:14:57:47 +0700] "GET /DoAnWeb/XuLyUser HTTP/1.1" 200 24200
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:00:39 +0700] "GET /DoAnWeb/XuLyUser HTTP/1.1" 200 24202
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:01:19 +0700] "GET /DoAnWeb/XuLyUser HTTP/1.1" 200 24204
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:01:51 +0700] "GET /DoAnWeb/XuLyAdminProduct HTTP/1.1" 200 65473
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:01:51 +0700] "GET /DoAnWeb/assets/img/Coffee5latte.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:01:51 +0700] "GET /DoAnWeb/assets/img/Coffee7Capuchino.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:01:51 +0700] "GET /DoAnWeb/assets/img/Coffee6mocha.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:01:51 +0700] "GET /DoAnWeb/assets/img/Coffee8coconutmilk.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:01:51 +0700] "GET /DoAnWeb/assets/img/Coffee10caramel.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:01:51 +0700] "GET /DoAnWeb/assets/img/Coffee9egg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:01:51 +0700] "GET /DoAnWeb/assets/img/MilkTea1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:01:51 +0700] "GET /DoAnWeb/assets/img/MilkTea3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:01:51 +0700] "GET /DoAnWeb/assets/img/MilkTea2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:01:51 +0700] "GET /DoAnWeb/assets/img/MilkTea5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:01:51 +0700] "GET /DoAnWeb/assets/img/MilkTea6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:01:51 +0700] "GET /DoAnWeb/assets/img/MilkTea4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:01:51 +0700] "GET /DoAnWeb/assets/img/MilkTea7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:01:51 +0700] "GET /DoAnWeb/assets/img/MilkTea8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:01:51 +0700] "GET /DoAnWeb/assets/img/MilkTea9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:01:51 +0700] "GET /DoAnWeb/assets/img/MilkTea10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:01:51 +0700] "GET /DoAnWeb/assets/img/Juice4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:01:51 +0700] "GET /DoAnWeb/assets/img/Juice2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:01:51 +0700] "GET /DoAnWeb/assets/img/Juice3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:01:51 +0700] "GET /DoAnWeb/assets/img/Juice1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:01:51 +0700] "GET /DoAnWeb/assets/img/Juice5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:01:51 +0700] "GET /DoAnWeb/assets/img/Juice6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:01:51 +0700] "GET /DoAnWeb/assets/img/Juice8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:01:51 +0700] "GET /DoAnWeb/assets/img/Juice9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:01:51 +0700] "GET /DoAnWeb/assets/img/Juice10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:01:51 +0700] "GET /DoAnWeb/assets/img/Juice7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:01:51 +0700] "GET /DoAnWeb/assets/img/Coffee1black.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:02:56 +0700] "GET /DoAnWeb/XuLyAdminProduct HTTP/1.1" 200 66661
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:05:15 +0700] "GET /DoAnWeb/XuLyAdminProduct HTTP/1.1" 200 66653
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:05:34 +0700] "GET /DoAnWeb/XuLyAdminProduct HTTP/1.1" 200 66655
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:09:26 +0700] "GET /DoAnWeb/XuLyUser HTTP/1.1" 200 24200
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:15:30 +0700] "GET /DoAnWeb/XuLyAdminProduct HTTP/1.1" 200 67387
0:0:0:0:0:0:0:1 - - [07/Jan/2024:15:16:33 +0700] "GET /DoAnWeb/XuLyAdminProduct HTTP/1.1" 200 66655
0:0:0:0:0:0:0:1 - - [07/Jan/2024:17:04:12 +0700] "GET /DoAnWeb/XuLyAdminProduct HTTP/1.1" 200 66666
0:0:0:0:0:0:0:1 - - [07/Jan/2024:17:04:32 +0700] "GET /DoAnWeb/XuLyAdminProduct HTTP/1.1" 200 66668
