127.0.0.1 - - [05/Jan/2024:19:35:42 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Jan/2024:19:35:43 +0700] "GET /DoAnWeb/DangNhap.jsp HTTP/1.1" 200 3704
0:0:0:0:0:0:0:1 - - [05/Jan/2024:19:35:43 +0700] "GET /DoAnWeb/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:19:35:43 +0700] "GET /DoAnWeb/assets/img/vietnam.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:19:35:43 +0700] "GET /DoAnWeb/assets/img/united-states.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:19:35:43 +0700] "GET /DoAnWeb/assets/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:19:35:44 +0700] "GET /DoAnWeb/favicon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:19:36:21 +0700] "POST /DoAnWeb/XuLyDangNhap HTTP/1.1" 200 33935
0:0:0:0:0:0:0:1 - - [05/Jan/2024:19:36:21 +0700] "GET /DoAnWeb/assets/css/templatemo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:19:36:21 +0700] "GET /DoAnWeb/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:19:36:21 +0700] "GET /DoAnWeb/assets/css/fontawesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:19:36:21 +0700] "GET /DoAnWeb/assets/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:19:36:21 +0700] "GET /DoAnWeb/assets/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:19:36:21 +0700] "GET /DoAnWeb/assets/img/Banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:19:36:22 +0700] "GET /DoAnWeb/assets/img/Banner2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:19:36:22 +0700] "GET /DoAnWeb/assets/js/jquery-1.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:19:36:22 +0700] "GET /DoAnWeb/assets/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:19:36:22 +0700] "GET /DoAnWeb/assets/js/jquery-migrate-1.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:19:36:22 +0700] "GET /DoAnWeb/assets/js/templatemo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:19:36:22 +0700] "GET /DoAnWeb/assets/js/countdown.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:19:36:22 +0700] "GET /DoAnWeb/assets/img/Banner4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:19:36:22 +0700] "GET /DoAnWeb/assets/img/Coffee2milk.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:19:36:22 +0700] "GET /DoAnWeb/assets/img/MilkTea1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:19:36:22 +0700] "GET /DoAnWeb/assets/img/Coffee1black.jpg HTTP/1.1" 304 -
